gender,age,Mean,Mad,deviation,Median,Min,Max,interquartileR,Skewness,Q25,Q75,Kurtosis,mfcc_mean,mfcc_max,mfcc_min,fbank_mean,fbank_max,fbank_min,energy_mean,energy_max,energy_min,lfbank_mean,lfbank_max,lfbank_min,ssc_mean,ssc_max,ssc_min,meaN,deviatioN,mediaN,modE,IQR,skewnesS,q25,q75,kurtosiS,person
0,20,-5.834543264032622,1974.1717674114686,3697.1426312706803,1.0,-20885.0,15032.0,602.0,-0.9179995796744125,-67.0,535.0,4.46877434350796,-0.3462881069719877,58.4655398034112,-57.499473807080626,619608.4381074404,57988664.336566135,2.220446049250313e-16,16303926.796681615,192810582.60444787,2.220446049250313e-16,7.272341702754927,17.875758106936328,-36.04365338911715,5781.337227699968,21419.17055610111,94.74609374999999,35.26965039439922,68.41151103893358,8.587933644311265,2.981063297395817,15.306910506317383,11.02494548256694,5.019925241728708,20.32683574804609,158.92658642715497,Vwiibixp
0,20,6.481665688424824,2526.88850920712,4103.373232571833,21.0,-18429.0,12437.0,2236.0,-0.8424887361878496,-708.0,1528.0,2.699345379550167,1.7810590281955903,59.90663762276311,-63.929121811089814,681427.5493573754,58780456.06430396,0.11131373307686922,17973699.281066854,224471602.21309006,206.07550566406246,9.290589391745987,17.88931997775965,-2.1954026403799647,5774.311013040166,21415.031797784424,94.74609374999999,32.075731381796395,61.645779453238305,8.402582558462822,2.919279602113002,14.905316486979087,11.279062573606613,4.432980136541966,19.338296623521053,165.4180582560215,Vwiibixp
0,20,-0.1308578666090019,2388.7207335670846,4151.18886242892,32.0,-23552.0,20227.0,1854.75,-0.6279760464156364,-605.75,1249.0,5.369572673365122,2.4794990386033504,63.886695904480604,-58.989043670037226,647668.714102774,112804611.89517754,0.10193050093917894,17112561.089293174,135309538.1661282,193.1904939453125,9.076526970352626,18.541167781787983,-2.283464061272747,5771.364769955943,21273.359601643213,94.74609374999999,28.92703944058377,58.6981140785028,8.557041796669859,2.9038336782922984,8.696055111056193,11.034680208504891,5.0817089370115225,13.777764048067715,147.0547086541268,Vwiibixp
0,20,-8.885761947422075,2350.6703441576947,3816.399347159851,139.0,-23552.0,20227.0,2249.0,-0.5949694919755056,-721.0,1528.0,6.201726956200234,2.23975256987287,58.59541253323988,-64.27980770253986,663379.9841746201,105549564.66622847,0.40011380527828533,17407880.60958527,149012900.74189237,1758.7047759765653,9.97479756807937,18.474691207818346,-0.9160062591446457,5764.786193838728,21585.047106959606,94.74609374999999,34.69592381442781,61.74388796381507,9.1439869018566,2.5176855827747056,17.979055327299122,12.227203707705975,5.267060022859967,23.24611535015909,192.01042476178412,Vwiibixp
0,20,-4.69865002625807,1846.157111359297,2814.2726000593975,47.0,-15345.0,11655.0,2057.0,-0.7705904445410767,-721.0,1336.0,2.951011817826777,2.1169723199360178,60.13994878894371,-58.08161287051185,408328.99668984086,41881700.09583494,0.3138327616811427,10773199.5705885,121777635.02417578,170.55436406249999,9.542349622878103,17.5503595375991,-1.1588950410699104,5768.699436753933,21322.382980766233,94.74609374999999,37.04505403513855,62.48507410286304,9.113095054215192,2.440455963671187,30.011429983627316,13.890709849886893,4.9890333940873,35.00046337771462,311.5556399255917,Vwiibixp
0,20,2.94271106854901,1637.7519585663779,2555.4824607854302,29.0,-15345.0,11655.0,1820.0,-0.7251035192801476,-679.0,1141.0,4.154410795654163,1.7629106182427852,65.27372654129505,-53.598955552825736,869196.8170086519,55882075.42833237,0.24828584252904232,22682791.472303353,217839467.73849535,189.6931681640625,9.80718137274374,17.838754232470997,-1.3931746056971162,5770.021313399802,21315.602863560223,94.74609374999999,59.17514467686913,84.56544169777919,9.947174940533193,2.548577430416113,89.18476414074325,11.487386744240705,5.637762194556856,94.82252633530011,187.2427145081517,Vwiibixp
0,20,-0.08163170739241914,1600.9453575258312,2242.8832134790146,233.0,-8831.0,7402.0,2019.0,-0.9428171480531315,-716.0,1303.0,1.4417268923461921,2.3163933337528064,60.241011594361986,-58.70141325264215,830303.9697908092,68600361.41100089,1.929476768700129,21652764.04527382,242629581.64280626,3168.1877414062524,10.20503197861035,18.043808361064173,0.6572488618609289,5770.613399249542,21296.241232013253,94.74609374999999,71.35930276057313,90.1838040526419,12.480306447128601,2.440455963671187,127.79957369250255,18.748897730445787,6.178369528281486,133.97794322078403,516.835313485856,Vwiibixp
0,20,-4.619412437057861,1108.7601948100166,1859.5371134853704,4.0,-8831.0,7402.0,936.75,-1.148180318503427,-172.75,764.0,3.523283163607823,3.0448246792593143,62.62872869438275,-62.96269069119648,152790.06460416864,7399793.9156202,0.008747306950260329,4019428.5019591176,27163278.523453128,66.15231816406249,7.200360023063951,15.816962708546088,-4.739009403098815,5785.780189245321,21421.684389784004,94.74609374999999,43.26235129081499,72.42278589041491,9.715486083222636,2.394118192209076,34.166383491396616,20.356002621277096,4.911803774983781,39.0781872663804,594.0723640288924,Vwiibixp
0,20,-2.077584875351395,148.88877803423603,518.565982016631,1.0,-6884.0,4936.0,10.0,-2.4425129408083257,-5.0,5.0,49.552564879692184,2.4315787906472783,54.57829314634988,-50.61827572534636,32961.40183921177,5257930.168946866,0.012155977507368186,860378.2720221288,26792610.06452363,59.0728939453125,2.4720075190252415,15.475248003268378,-4.409934254260975,5814.196247917464,21474.989442987797,94.74609374999999,62.46920196064569,83.84480194547632,9.31389206388434,2.3014426492848536,94.55994563034814,15.322189995021365,4.788236384418152,99.3481820147663,326.4806066194484,Vwiibixp
0,20,-0.0104099094924783,4.580395128609364,6.762117213278658,0.0,-208.0,115.0,7.0,-2.9160746157677724,-4.0,3.0,95.47141561862287,0.89271004127609,34.021936163982524,-40.13079224690187,41.66539447005655,28335.278613717797,0.0007138863858893337,1095.7339746774385,64084.39747851562,70.55195332031249,0.8323761610299945,10.251862901402308,-7.244786731690456,5825.394868726154,21455.366788551903,94.74609374999999,104.87571225255775,107.98089590297857,63.20081549439348,1.050257930991876,182.31242084453098,24.058269323533068,12.633985111049332,194.9464059555803,1151.8591388634534,Vwiibixp
